Прізвище;Ім’я;По батькові;Стать;Дата народження;Посада;Місто проживання;Адреса проживання;Телефон;Email
Колодуб;Олекса;Гаврилоович;Чоловіча;1985-01-06;Акушер;хутір Новий Буг;площа Академіка Вільямса, буд. 127 кв. 15, Червоноград, 87194;037 541 28 20;shchorsmakar@example.net
Зінкевич;Владислав;Едуардович;Чоловіча;2002-03-15;Водій;місто Остер ;узвіз Деревообробний 1-й, буд. 8, Південне , 37731;+380 (77) 275-43-41;liubovbarannyk@example.com
Верменич;Орхип;Станіславович;Чоловіча;1953-07-07;Патологоанатом;хутір Дубляни;набережна Лиманчик 2-й Лінія 11-та, буд. 1, Южноукраїнськ, 24364;+380 (12) 047-13-41;nshtepa@example.com
Теличенко;Ярослав;Августинович;Чоловіча;1958-08-11;Фольклорист;селище Долина ;провулок Кар’єрна, буд. 713, Боково-Хрустальне, 09286;+380 (08) 302-44-63;havrylo29@example.org
Парасюк;Остап;Петроович;Чоловіча;1967-07-10;Нотаріус;селище Нове Давидково;сквер Локомотивний 4-й, буд. 78 кв. 096, Кальміуське, 86126;+380 24 516 01 80;danbabii@example.org
Ґерета;Ліза;Василинаівна;Жіноча;1998-08-10;Секретар;село Генічеськ;сквер Центральна, буд. 651, Почаїв, 32098;096 125 06 76;spasumanets@example.com
Макогон;Віктор;Адамович;Чоловіча;1952-06-15;Машиніст;село Моршин;парк Перемоги, буд. 94 кв. 56, Вільногірськ, 27637;+380 88 326 82 91;ztsushko@example.net
Сич;Марта;Едитаівна;Жіноча;1977-04-19;Правник;село Довжанськ;шосе Листяна, буд. 541, Алушта, 71321;578 44 51;baranles@example.net
Захарченко;Данна;Єлисаветаівна;Жіноча;2006-08-09;Піаніст;місто Бібрка;шосе Ширшова, буд. 397, Василівка , 76361;+380 92 569-51-66;wsirko@example.com
Самойленко;Вадим;Максимович;Чоловіча;1997-03-15;Адвокат;хутір Українка ;сквер Сортувальна 1-ша, буд. 852 кв. 587, Привілля, 33436;+380 (08) 678-66-89;kozakandrii@example.net
Башполченко;Ярема;Веніяминович;Чоловіча;2001-04-16;Кінорежисер;село Лебедин;площа Дерибасівська, буд. 2 кв. 38, Василівка , 55394;024 821-62-16;omeliankarmaliuk@example.org
Непорожній;Тарас;Богодарович;Чоловіча;1965-08-30;Астроном;хутір Берислав;узвіз Студентський, буд. 19, Вилкове, 77135;094 146-57-85;kalenychenkokhrystyna@example.org
Єременко;Вікторія;Любовівна;Жіноча;1964-06-15;Дизайнер;хутір Херсон;узвіз Адміральський, буд. 78, Тиврів, 63373;+380 47 958-51-23;shvachkosviatoslava@example.com
Їжакевич;Юстим;Семенович;Чоловіча;1987-01-21;Парфюмер;місто Узин;провулок Шовкуненка, буд. 69, Довжанськ, 76502;+380 46 480-70-65;milenasheremeta@example.net
Ванченко;Теодор;Васильович;Чоловіча;1947-11-30;Музикознавець;селище Черкаси;набережна Посмітного, буд. 32 кв. 54, Ржищів, 27673;075 082-53-72;klavdiiavanchenko@example.net
Талан;Богуслава;Любовівна;Жіноча;1956-11-30;Програміст;селище Червоносів;провулок Лінійна, буд. 866 кв. 0, Борислав, 44255;+380 65 918-96-21;ciemelianenko@example.net
Устенко;Мирон;Дмитроович;Чоловіча;1983-09-30;Різноробочий;село Підгайці;сквер Восьмого Березня Лінія 5-та, буд. 7, Ковель, 27015;416-34-51;esyrotenko@example.net
Конопленко;Зорян;Климентович;Чоловіча;2002-12-09;Кінокритик;місто Голубівка;вулиця Бузковий, буд. 25 кв. 23, Синельникове, 70373;+380 (68) 246-21-60;gkarpa@example.org
Проценко;Антон;Прохірович;Чоловіча;1961-02-12;Кіноактор;село Узин;площа Архітектурна, буд. 00 кв. 01, Молодогвардійськ, 25298;+380 (67) 480-28-28;ivanchenkodaryna@example.net
Демʼянчук;Климент;Пилипович;Чоловіча;1939-05-01;Ветеринар;село Олешки;вулиця Бузковий, буд. 451 кв. 97, Волноваха, 39979;+380 83 926-29-97;jzasiadko@example.net
Бакуменко;Альберт;Августинович;Чоловіча;1959-12-29;Реабілітолог;селище Бориспіль;проспект Лінія 51-ша, буд. 058 кв. 134, Вилкове, 57130;884 63 07;tmatiash@example.net
Гупало;Тетяна;Одаркаівна;Жіноча;1996-03-21;Лікар;місто Алчевськ;узвіз Старопортофранківська, буд. 2, Чигирин, 55952;062 781-81-31;sdeineko@example.com
Радченко;Зиновій;Алевтинович;Чоловіча;1969-05-05;Географ;село Амвросіївка;провулок Балтський 3-й, буд. 509, Новомиргород, 37256;+380 (37) 987-40-58;mykytaiefymenko@example.org
Кабаненко;Демид;Богданович;Чоловіча;1940-11-15;Ветеринар;село Барвінкове;набережна Маячний, буд. 29 кв. 550, Бобровиця, 72424;+380 35 795-10-52;priska45@example.com
Тичина;Амалія;Адаівна;Жіноча;1988-10-13;Парфюмер;місто Географія Вільнянська;набережна 3-тя Лінія 4-ї ст. Люстдорфської дороги, буд. 16, Білгород-Дністровський, 72695;868-76-63;opanasenkomykhailo@example.com
Лисенко;Іван;Леонович;Чоловіча;2005-06-28;Письменник;селище Рубіжне;узвіз Дністровська, буд. 6 кв. 3, Путивль, 72680;+380 08 024-39-07;htverdokhlib@example.org
Вакарчук;Максим;Володимирович;Чоловіча;1990-01-13;Соціолог;місто Нова Каховка;сквер Адміральський, буд. 426, Лисичанськ, 28615;+380 88 719-50-24;zorian46@example.com
Бабійчук;Євген;Пантелеймонович;Чоловіча;1991-08-21;Мікробіолог;село Ромни;площа Лучиста, буд. 50, Переяслав, 60093;143 34 23;viktor61@example.net
Годунок;Одарка;Розаліяівна;Жіноча;1979-01-18;Кіноактор;місто Снігурівка;шосе Зелена балка, буд. 76 кв. 1, Бар, 38023;+380 90 021-71-01;cvdovenko@example.net
Харченко;Лесь;Олегович;Чоловіча;1988-10-12;Пілот;хутір Берегове;набережна Херсонський, буд. 48, Мирноград, 23330;+380 01 718 32 60;anitachaban@example.org
Саченко;Олена;Вікторіяівна;Жіноча;1957-11-28;Нотаріус;місто Олександрія;проспект Дніпровська, буд. 407, Судак , 96028;+380 08 673-52-99;chubaiteodor@example.org
Кибкало;Панас;Адамович;Чоловіча;1970-04-03;Вчитель;хутір Молодогвардійськ;проспект Маразліївська, буд. 971 кв. 5, Вугледар, 80266;016 099 94 22;jartymovych@example.org
Базавлученко;Марина;Христинаівна;Жіноча;1950-09-09;Хореограф;село Ромни;проспект Армійська, буд. 054, Моршин, 43126;700 76 08;abaran@example.net
Саєнко;Марта;Роксоланаівна;Жіноча;1969-06-08;Складальник;місто Заставна;сквер Сільська, буд. 636 кв. 679, Чигирин, 59630;742-99-48;ocharnysh@example.com
Гаврюшенко;Леон;Соломонович;Чоловіча;1957-06-06;Євнух;селище Зимогір'я;набережна Наявний 7-й, буд. 546 кв. 873, Бобринець, 05975;088 956-36-80;viacheslavdubyna@example.net
Ємець;Богодар;Богуславович;Чоловіча;2002-12-26;Вчитель;селище Золоте;набережна Восьмого березня 3-й, буд. 798, Стебник, 87674;+380 75 108 75 37;syrotenkosvitlana@example.net
Дубенко;Тарас;Євгенович;Чоловіча;1946-06-07;Підприємець;хутір Дніпро ;площа Єлисаветградський, буд. 0, Курахове, 11036;+380 39 151 86 06;emiliiachaika@example.com
Гунько;Ярослава;Марʼянаівна;Жіноча;1980-11-21;Ріелтор;місто Надвірна;узвіз Ашгабатська, буд. 40 кв. 68, Черкаси, 86488;992-56-13;adaievdokymenko@example.net
Фаренюк;Дан;Миронович;Чоловіча;1992-01-21;Сценарист;селище Баранівка;набережна Ціолковського, буд. 944 кв. 51, Жовті Води, 35485;488-57-37;andreikobohodar@example.com
Парасюк;Юстим;Германович;Чоловіча;2000-05-27;Шериф;селище Подільськ;узвіз Квітнева, буд. 737, Ладижин, 72981;786-30-05;okseniia55@example.org
Романець;Соломон;Григорійович;Чоловіча;1959-08-22;Кушнір;село Гребінка;проспект Вокзальний, буд. 16 кв. 813, Географія Вільнянська, 28930;+380 84 817-30-20;liliiazaika@example.org
Івасюк;Марина;Анжелаівна;Жіноча;2002-03-14;Біолог;селище Болехів;вулиця Закарпатська, буд. 50, Керч, 26468;+380 67 277-53-68;chaikapylyp@example.net
Зінчук;Аніта;Ларисаівна;Жіноча;1950-06-19;Штукатур;місто Ржищів;провулок Деревообробний 3-й, буд. 087, Надвірна, 60148;+380 91 183-81-68;khomaverhun@example.net
Шведченко;Марія;Вікторіяівна;Жіноча;1993-12-09;Візажист;місто Кременець;площа Головківська, буд. 8, Маріуполь, 99163;031 768 36 46;chalyibohdan@example.com
Рак;Аркадій;Леопольдович;Чоловіча;1958-12-27;Музикознавець;селище Дніпрорудне;площа Академіка Заболотного, буд. 09, Славута, 33587;+380 98 925-49-28;gkharchenko@example.com
Верхола;Макар;Климентович;Чоловіча;1962-08-10;Фармацевт;хутір Волочиськ;сквер Селекційний, буд. 1 кв. 184, Білозерське, 12036;+380 93 049 13 57;emiliiakharchenko@example.com
Демиденко;Анжела;Наталіяівна;Жіноча;1962-05-03;Машиніст;місто Костопіль;сквер Мельницька, буд. 6, Алушта, 71758;+380 47 624 31 58;viacheslaviurchuk@example.com
Гаврилюк;Леонід;Феофанович;Чоловіча;1970-04-30;Ветеринар;селище Антрацит ;провулок 17-та Лінія 6-й ст. Люстдорфської дороги, буд. 19, Ананьїв, 87603;+380 01 636 71 82;lysenkostanislav@example.org
Рябець;Теодор;Захарович;Чоловіча;1960-09-17;Дерун;селище Решетилівка;узвіз Садова 5-та, буд. 5, Радехів, 19978;+380 (04) 466-12-73;iustym42@example.org
Ковпак;Амвросій;Йосипович;Чоловіча;1948-01-08;Євнух;селище Генічеськ;площа Льва Толстого, буд. 9 кв. 87, Бережани, 63265;+380 (18) 343-36-75;khrystychanastasiia@example.net
Бевзенко;Олег;Теодорович;Чоловіча;2006-05-14;Бібліотекар;селище Тиврів;шосе Дніпропетровська дорога, буд. 79 кв. 4, Гайсин, 69085;026 859-02-24;martyn74@example.net
Микитюк;Теодор;Яремаович;Чоловіча;1958-09-11;Дизайнер;село Балаклія;площа Волниста, буд. 962 кв. 4, Гірник , 87822;+380 22 496-26-83;jsuprunenko@example.org
Гаврюшенко;Валентин;Назарович;Чоловіча;1957-09-28;Етнограф;селище Кіцмань;узвіз Павла Шклярука, буд. 6 кв. 7, Жмеринка, 94034;077 44 55;okhrimvermenych@example.com
Зубко;Адам;Костянтинович;Чоловіча;1985-03-29;Ґрунтознавець;село Малин;провулок Лінія 46-та, буд. 96, Тиврів, 47028;+380 (08) 547-87-13;kybkaloroman@example.com
Остапчук;Семен;Олексаович;Чоловіча;1975-04-21;Гірничий інженер;селище Костопіль;площа Леонова, буд. 70 кв. 388, Роздільна, 85308;+380 (11) 591-71-68;iaroslavafranko@example.net
Лавренко;Азар;Германович;Чоловіча;1986-05-30;Бібліограф;хутір Яремче;провулок Красних Зорь, буд. 410, Севастополь, 88812;059 250 65 82;solomonsimashkevych@example.com
Філіпенко;Онисим;Соломонович;Чоловіча;1997-09-17;Реабілітолог;місто Лисичанськ;проспект Цимлянська, буд. 56, Бурштин , 71379;294 91 33;heorhiidanylenko@example.com
Зінчук;Стефан;Петроович;Чоловіча;1973-08-29;Агроном;село Українськ;вулиця Ювілейний 1-й, буд. 317 кв. 835, Калуш, 81526;065 32 05;shchyrytsialeontii@example.org
Михайличенко;Орися;Клавдіяівна;Жіноча;1985-01-13;Письменник;хутір Угнів;парк Леонова, буд. 526, Радивилів, 07476;+380 42 344 93 01;lubenetsleontii@example.net
Єсипенко;Світлана;Даринаівна;Жіноча;1987-06-05;Маркетолог;місто Заставна;шосе Басейний 6-й, буд. 9 кв. 7, Чернігів, 50772;095 339-13-30;liubovsirchenko@example.com
Адамчук;Емілія;Любовівна;Жіноча;1963-09-08;Льотчик;хутір Підгородне;проспект Шампанський, буд. 94, Середина-Буда, 96521;026-80-51;tereshchenkoodarka@example.net
Царенко;Антон;Михайлоович;Чоловіча;1981-01-18;Нотаріус;хутір Ялта;шосе Осипова, буд. 76, Стебник, 04111;032 000-59-95;vbebeshko@example.net
Кибкало;Христина;Ларисаівна;Жіноча;2001-11-14;Кіноактор;хутір Виноградів;вулиця Шкільний, буд. 19, Городище , 54327;+380 86 112 07 35;wdeineka@example.net
Жученко;Маруся;Златославаівна;Жіноча;1944-09-20;Ветеринар;місто Кременець;парк Житкова, буд. 2, Обухів, 59079;+380 63 891-03-73;rhres@example.org
Журавель;Дмитро;Леопольдович;Чоловіча;1998-11-05;Актор;селище Решетилівка;проспект Вітчизняна, буд. 6, Сватове, 04122;+380 (78) 304-53-09;yusyk@example.org
Забара;Марина;Маринаівна;Жіноча;1993-09-15;Дизайнер;село Павлоград;парк Липнева, буд. 061 кв. 82, Дебальцеве, 35882;534 32 53;jvasylevych@example.org
Тригуб;Людмила;Світланаівна;Жіноча;1993-04-18;Головний меркшейдер;село Мерефа;площа Пересипська 10-та, буд. 950, Гуляйполе, 12695;+380 15 369-92-57;adam29@example.net
Кибкало;Павло;Єфремович;Чоловіча;1949-08-28;Піаніст;селище Ужгород;площа Педагогічна, буд. 1, Міусинськ, 95825;+380 52 640 55 12;aiemets@example.net
Зубко;Павло;Богодарович;Чоловіча;1969-06-18;Детектив;хутір Щолкіне;шосе Херсонський сквер, буд. 713, Бершадь, 52906;+380 67 827 85 48;shvaikaarkadii@example.net
Литвин;Ростислав;Ігнатович;Чоловіча;1949-03-21;Геофізик;село Кілія;парк Іванова, буд. 8, Рівне, 92048;+380 (63) 056-31-81;havrylyshynaroksolana@example.net
Вітер;Тетяна;Анітаівна;Жіноча;1939-10-26;Астрофізик;село Молочанськ;узвіз Тополиний, буд. 53 кв. 2, Кіцмань, 53348;+380 73 631-90-19;zakharchenkopetro@example.org
Колодуб;Борис;Парменович;Чоловіча;1998-12-12;Мікробіолог;місто Богодухів;площа Шевченка парк, буд. 1 кв. 3, Інкерман, 88979;277 37 61;kharchenkohlib@example.com
Худобʼяк;Іван;Данович;Чоловіча;1995-05-20;Клоун;село Нетішин;проспект Політкаторжан, буд. 49, Шумськ, 99873;+380 (07) 971-18-08;udovenkomyroslav@example.org
Баштан;Симон;Олексаович;Чоловіча;1982-06-17;Стиліст;селище Умань;сквер Нахімова, буд. 1, Борзна, 17821;+380 46 469-71-55;volodymyrfilipenko@example.org
Ящук;Аркадій;Давидович;Чоловіча;1977-07-15;Живописець;хутір Судак ;шосе Лінія 36-та, буд. 458 кв. 42, Сіверськ, 60105;097 789-98-34;babiakiarema@example.com
Вобла;Златослава;Богуславаівна;Жіноча;1947-02-08;Швачка;хутір Сарни;узвіз Агрономічна, буд. 521 кв. 5, Обухів, 66011;063-19-78;hanna74@example.com
Данилюк;Руслан;Миронович;Чоловіча;1958-08-30;Адвокат;хутір Бунге ;вулиця Тульська, буд. 1, Мукачево, 86966;+380 91 313-12-79;bohuslavazabashta@example.com
Макаренко;Святослава;Тетянаівна;Жіноча;1952-06-17;Літературознавець;селище Жовква;узвіз Індійська, буд. 78, Кипуче, 51107;523-92-85;snizhanavovk@example.com
Андрійчук;Левко;Миронович;Чоловіча;1971-03-02;Єгер;місто Камінь-Каширський;сквер Політкаторжан, буд. 88 кв. 626, Вінниця, 62265;+380 35 623-63-38;gartiushenko@example.com
Іщенко;Тимофій;Демидович;Чоловіча;1976-10-06;Реставратор;хутір Сторожинець;шосе Рибальська, буд. 28 кв. 68, Підгайці, 94485;+380 60 014 07 17;vokhrymovych@example.net
Щириця;Павло;Тарасович;Чоловіча;2003-10-27;Провізор;селище Марганець ;провулок Маразліївська, буд. 7, Шаргород, 23507;793-45-08;ttsymbal@example.com
Затовканюк;Вʼячеслав;Романович;Чоловіча;1943-04-15;Мірошник;місто Липовець;вулиця 2-га Лінія Марії Демченко, буд. 16 кв. 4, Стебник, 12218;096 611 63 15;prokhirandriichuk@example.org
Мірошниченко;Трохим;Варфоломійович;Чоловіча;1959-04-14;Кінолог;хутір Святогірськ;проспект Китобійний 2-й, буд. 67 кв. 98, Хирів, 59056;059 833-56-19;tymchuksviatoslava@example.net
Смик;Оксенія;Еміліяівна;Жіноча;2001-02-22;Дипломат;місто Рогатин;парк Товарний, буд. 147 кв. 6, Кам'янка (Черкаська область), 49634;891 66 01;khrystyna24@example.org
Гузій;Мирослав;Зорянович;Чоловіча;1962-07-14;Кінорежисер;село Новоукраїнка;сквер Стельмаха, буд. 8 кв. 8, Богуслав, 71292;249 11 45;iurchyshynsymon@example.org
Данько;Ростислав;Олесьович;Чоловіча;1972-03-12;Фрілансер;місто Рожище;набережна Гаршина, буд. 3 кв. 114, Конотоп, 33879;168-49-28;nosenkopriska@example.com
Смик;Ліза;Іринаівна;Жіноча;1953-02-28;Графік;місто Винники;проспект Садова 3-тя, буд. 094, Корюківка, 79049;+380 19 729-57-69;udatsiuk@example.org
Титаренко;Георгій;Панасович;Чоловіча;1995-10-11;Бізнесмен;село Корець;провулок Тюльпанний, буд. 12, Красноград, 73864;+380 91 560-78-64;talanorysia@example.com
Литвиненко;Галина;Володимираівна;Жіноча;1957-04-16;Хореограф;хутір Першотравенськ;провулок Нечипуренка, буд. 20 кв. 82, Пустомити, 18419;+380 11 688 33 05;chmiloksana@example.net
Величко;Ганна;Анжелаівна;Жіноча;1945-03-24;Ріелтор;селище Сєвєродонецьк;сквер Травневий, буд. 89 кв. 8, Кролевець, 68568;+380 17 859-90-47;zriabchenko@example.net
Гайдамака;Анжела;Сніжанаівна;Жіноча;1954-05-27;Мірошник;хутір Луцьк;проспект Палія Семена, буд. 07, Рожище, 61501;+380 86 167-19-44;makohonhavrylo@example.com
Копитко;Амалія;Аллаівна;Жіноча;1970-05-21;Архітектор;селище Карлівка;парк Економічний, буд. 900, Світловодськ, 15036;098 939 33 93;ybarabash@example.com
Ющенко;Гліб;Левкоович;Чоловіча;1965-12-15;Клавішник;хутір Горішні Плавні;парк Танфільєва, буд. 422 кв. 780, Балаклія, 98035;018 465-27-20;slesyk@example.com
Абрагамовський;Прохір;Сергійович;Чоловіча;1938-10-09;Режисер;місто Дубровиця;провулок Болградська, буд. 5, Ямпіль, 94818;560-61-90;viacheslavsirko@example.org
Даценко;Пріска;Василинаівна;Жіноча;2001-10-11;Публіцист;хутір Рівне;шосе Гагаріна, буд. 1 кв. 51, Канів, 99533;+380 (02) 774-46-34;sofiiakorpaniuk@example.net
Хомик;Максим;Тарасович;Чоловіча;1998-03-04;Фармацевт;хутір Баштанка;узвіз Житомирський 3-й, буд. 2 кв. 6, Володимир-Волинський, 80295;+380 (93) 229-39-40;mazepaiakiv@example.net
Чміль;Олесь;Валентинович;Чоловіча;1975-02-28;Астронавт;місто Тульчин;узвіз Дігтярна, буд. 570 кв. 96, Яготин, 58459;009 986-25-36;qilchenko@example.net
Ґжицька;Роксолана;Розаліяівна;Жіноча;1964-05-07;Нотаріус;хутір Сарни;провулок Комітетська, буд. 683 кв. 7, Канів, 52291;043 298-48-17;priska98@example.net
Худобʼяк;Марʼяна;Людмилаівна;Жіноча;1995-09-10;Історик;село Ізяслав;шосе Місячна, буд. 667 кв. 7, Перечин, 29627;504-13-79;vasylyna01@example.net
Гоголь-Яновський;Антон;Теодорович;Чоловіча;1946-10-09;Хореограф;село Лозова ;площа Транспортна, буд. 0 кв. 692, Галич, 38207;+380 (53) 010-67-17;devdiukalbina@example.org
Фастенко;Леонід;Олексаович;Чоловіча;1970-08-10;Кінорежисер;селище Енергодар;парк Митна, буд. 219, Лозова , 49579;028 262 09 64;qieromenko@example.net
Голобородько;Дан;Олесьович;Чоловіча;1978-04-28;Громадський діяч;місто Рені;набережна Тіниста, буд. 627, Новояворівськ, 57689;+380 77 096-47-71;suprunenkostepan@example.com
Джунь;Олена;Амаліяівна;Жіноча;2002-05-12;Кінорежисер;місто Кіцмань;набережна Ямська, буд. 0 кв. 8, Сулимівка (Слов'янськ), 87253;+380 08 297-09-30;tovstolisoksana@example.com
Артюх;Тетяна;Валентинаівна;Жіноча;1974-08-31;Мікробіолог;хутір Заліщики;проспект Ямчитського, буд. 474, Кропивницький, 48531;032 100 72 02;priska37@example.org
Ющенко;Антон;Феофанович;Чоловіча;1945-04-11;Мінералог;місто Люботин;провулок Дунаєвського 3-й, буд. 880 кв. 27, Гайворон, 12247;446 87 45;shutkomykhailo@example.org
Коваленко;Венедикт;Онисимович;Чоловіча;1982-05-30;Співак;селище Благовіщенське;узвіз Раїси Сергієнко, буд. 771 кв. 8, Семенівка, 88577;056 606-28-42;caronets@example.net
Забара;Маруся;Сніжанаівна;Жіноча;1940-03-27;Євнух;місто Радивилів;проспект 21-й км Старокиївської дороги, буд. 984 кв. 617, Родинське, 71641;+380 88 902-47-39;fursmariana@example.net
Фартушняк;Святослава;Оленаівна;Жіноча;1980-08-03;Паралегал;місто Севастополь;площа Будівельний, буд. 244, Кривий Ріг, 97163;130-66-39;iaremkivteodor@example.org
Притула;Анастасія;Варвараівна;Жіноча;1950-07-14;Астрофізик;місто Монастириська;сквер Деволанівська, буд. 373, Вознесенськ, 70202;+380 (83) 251-75-20;orest75@example.org
Артимишин;Аврелій;Леонович;Чоловіча;1991-06-09;Флорист;село Бердянськ;провулок Сегедська, буд. 585, Сторожинець, 72283;+380 22 152-66-28;neporozhniiiaroslav@example.org
Усик;Богодар;Федірович;Чоловіча;1975-03-12;Етнограф;село Севастополь;проспект Прохоровський, буд. 6 кв. 9, Енергодар, 34688;060 616 39 30;hordiigereta@example.com
Шеремета;Назар;Васильович;Чоловіча;1940-07-31;Електромонтажник;село Карлівка;набережна Амурський 2-й, буд. 259, Вінниця, 57722;+380 (52) 412-41-58;prytularostyslav@example.net
Гайденко;Єлисей;Йосипович;Чоловіча;2007-03-30;Дизайнер;село Ананьїв;вулиця Тополиний, буд. 546, Енергодар, 20859;+380 (61) 852-42-80;viktoriiahabelko@example.org
Дзюба;Ольга;Софіяівна;Жіноча;1974-01-17;Дантист;село Новий Калинів;набережна Басейний 4-й, буд. 59 кв. 3, Лохвиця, 26495;+380 60 851-23-93;iartemenko@example.net
Канівець;Камілла;Сніжанаівна;Жіноча;1966-10-26;Складальник;хутір Голубівка;узвіз Пестеля, буд. 301 кв. 6, Ромни, 01957;372-85-02;datsiukrostyslav@example.net
Тиха;Михайлина;Святославаівна;Жіноча;1958-02-26;Дерун;село Городня;вулиця Овідіопольська, буд. 8, Докучаєвськ, 64457;+380 48 208-93-89;lupiihanna@example.com
Симоненко;Амвросій;Пантелеймонович;Чоловіча;2008-01-22;Паралегал;село Корюківка;площа Слави, буд. 020, Берестечко, 20175;+380 29 987-54-87;hordii49@example.org
Даценко;Ярослав;Богуславович;Чоловіча;2006-01-26;Стропальник;хутір Чортків;провулок Стамбульський, буд. 092 кв. 2, Баранівка, 61838;+380 08 110 53 33;oleksandrkylymnyk@example.org
Авраменко;Пріска;Любовівна;Жіноча;1964-05-09;Літературознавець;село Збараж;узвіз Профспілкова, буд. 059, Горлівка, 25886;039 843 94 49;okhrymovychpriska@example.net
Єрьоменко;Мирон;Васильович;Чоловіча;1978-03-08;Перекладач;хутір Чернівці;провулок Курганська, буд. 7 кв. 246, Жовква, 91794;076 649-38-08;ielysaveta29@example.net
Артюх;Амвросій;Демидович;Чоловіча;1968-12-13;Астронавт;село Старокостянтинів;сквер Наливна, буд. 53, Олевськ, 54960;033 348 53 74;volodymyrazabila@example.org
Пʼятаченко;Григорій;Георгійович;Чоловіча;2000-07-11;Дизайнер;місто Жданівка;вулиця Професора Каришковського, буд. 0 кв. 7, Бережани, 95938;+380 19 167-31-68;dturkalo@example.net
Дрозд;Маруся;Альбінаівна;Жіноча;1989-06-08;Детектив;хутір Селидове;вулиця Зернова, буд. 7 кв. 73, Вовчанськ, 44708;+380 82 725-21-42;pvermenych@example.org
Олійник;Богуслав;Макарович;Чоловіча;1988-03-06;Адвокат;місто Сколе;узвіз Василя Кандинського 3-й, буд. 6 кв. 5, Радомишль, 18731;+380 (67) 126-76-03;xdemianenko@example.net
Лубенець;Феофан;Феофанович;Чоловіча;1954-11-01;Продюсер;місто Тальне;шосе Центральний аеропорт, буд. 317, Олександрія, 71299;180 51 04;khrystenkovarfolomii@example.org
Верхола;Йосип;Венедиктович;Чоловіча;1940-04-15;Бібліотекар;хутір Київ;шосе Академічний, буд. 05 кв. 963, Кам'янське, 34023;635-34-03;lukiankalenychenko@example.net
Чумаченко;Юхим;Єлисейович;Чоловіча;1988-01-18;Юрист;місто Вовчанськ;узвіз Чорноморка, буд. 590, Лохвиця, 44964;046 335-02-20;iustyna43@example.com
Литвин;Лесь;Яківович;Чоловіча;1951-01-24;Правник;хутір Гірник ;вулиця Перемоги, буд. 904 кв. 3, Маріуполь, 95838;664 19 72;dannaaronets@example.org
Тимчук;Орися;Яринаівна;Жіноча;1963-04-08;Літературознавець;село Монастирище;сквер Шишкіна 3-й, буд. 406 кв. 554, Ланівці, 89611;023 67 11;levkokolesnychenko@example.net
Дробаха;Юстина;Маріяівна;Жіноча;1951-01-30;Няня;селище Бунге ;проспект 8-ма Суворовська, буд. 057, Дебальцеве, 69481;+380 70 144-95-45;ybandurka@example.net
Саєнко;Юстина;Каміллаівна;Жіноча;1943-07-15;Бібліограф;хутір Судак ;набережна Рівний, буд. 7 кв. 745, Чорноморськ, 44309;+380 50 160 16 81;leonid01@example.net
Забашта;Варфоломій;Демидович;Чоловіча;1978-11-20;Електрик;село Путивль;вулиця Штильова, буд. 40 кв. 03, Турка, 51493;831 90 35;zmakarenko@example.com
Гайворонський;Миколай;Леонтійович;Чоловіча;1990-02-03;Круп'є;місто Тернівка ;провулок Пироговська, буд. 5 кв. 3, Моспине, 56330;+380 45 563-50-73;abramchukomelian@example.org
Ткаченко;Віталій;Опанасович;Чоловіча;1960-05-14;Інженер;хутір Тисмениця;набережна Соляна, буд. 80, Городище , 33442;623 37 94;fdarahan@example.org
Івасюк;Зорян;Мирославович;Чоловіча;1991-01-08;Випробувач;село Боярка;парк Майстерний, буд. 559, Герца, 17469;+380 71 049-56-10;nzaporozhets@example.net
Аронець;Марʼяна;Маріяівна;Жіноча;1963-05-01;Геофізик;селище Галич;парк Круговий, буд. 69 кв. 976, Свалява, 69746;+380 03 428 02 30;shyloada@example.net
Литвиненко;Алевтин;Панасович;Чоловіча;1972-01-25;Режисер;місто Путивль;сквер Аеродромний 1-й, буд. 021, Міусинськ, 41146;+380 54 637-71-64;omelianrebryk@example.com
Верес;Назар;Єлисейович;Чоловіча;1968-04-23;Етнограф;хутір Жмеринка;площа Вишневий, буд. 06, Сіверськ, 76203;+380 47 311-43-95;iryna03@example.com
Панчук;Яків;Васильович;Чоловіча;1942-10-29;Графік;хутір Судова Вишня;парк Жаботинського, буд. 34 кв. 9, Новомиргород, 73095;+380 61 356-36-38;vtkach@example.com
Гаврилець;Борислав;Азарович;Чоловіча;1940-07-12;Слідчий;селище Судак ;площа Садовий, буд. 3, Буча, 19724;+380 46 723-56-99;gerusmaksym@example.net
Фартушняк;Адам;Мартинович;Чоловіча;1983-09-01;Мікробіолог;село Шепетівка;набережна Мазепи Івана, буд. 6 кв. 71, Антрацит , 93646;+380 95 623-96-15;ghupalo@example.net
Кибкало;Леон;Захарович;Чоловіча;1969-11-13;Головний меркшейдер;місто Узин;парк Бірюкова, буд. 1 кв. 180, Охтирка, 64580;+380 72 741-48-38;zaikatymofii@example.com
Бабиченко;Опанас;Яремаович;Чоловіча;2001-08-30;Секретар;село Дергачі;узвіз Мічуріна, буд. 45 кв. 6, Хотин, 25481;+380 (91) 505-53-87;prykhodkoorest@example.com
Деркач;Антон;Вʼячеславович;Чоловіча;1949-05-13;Нотаріус;хутір Львів;площа Кавказький, буд. 93, Іллінці, 93086;+380 (57) 145-57-99;marusiasachenko@example.com
